,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,0,2023-10-18,2,41,2675.0,2697.0,2661.0,2669.0,18891100.0,2669.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,1,0.004475941812756434,6.0
1,1,2023-10-17,1,41,2705.0,2719.0,2653.0,2681.0,22766500.0,2681.0,0.0,0.0,0.0,0,0.0,496200.0,473500.0,-21.0,0,-0.007894736842105263,24.0
2,2,2023-10-16,0,41,2650.0,2665.0,2630.5,2660.0,19258100.0,2660.0,0.0,0.0,0.0,0,0.0,482000.0,487800.0,27.5,1,0.010232558139534883,-10.0
3,3,2023-10-13,4,40,2708.0,2726.0,2677.0,2687.5,24757200.0,2687.5,2347300.0,13580700.0,5.79,0,0.0,482000.0,626500.0,52.5,1,0.01916058394160584,20.5
4,4,2023-10-12,3,40,2678.0,2740.0,2673.0,2740.0,32321600.0,2740.0,0.0,0.0,0.0,0,0.0,562300.0,418400.0,-89.0,0,-0.033572236891738966,-62.0
5,5,2023-10-11,2,40,2650.0,2681.0,2640.0,2651.0,23177900.0,2651.0,0.0,0.0,0.0,0,0.0,574100.0,509900.0,-26.5,0,-0.010097161364069346,-1.0
6,6,2023-10-10,1,40,2600.0,2640.5,2595.0,2624.5,27455800.0,2624.5,0.0,0.0,0.0,0,0.0,556900.0,469900.0,-52.5,0,-0.02041213063763608,-24.5
7,7,2023-10-06,4,39,2564.5,2604.0,2536.0,2572.0,28521800.0,2572.0,2383500.0,13628900.0,5.72,0,0.0,521200.0,486200.0,18.0,1,0.0069498069498069494,-7.5
8,8,2023-10-05,3,39,2528.0,2590.0,2505.5,2590.0,41463500.0,2590.0,0.0,0.0,0.0,0,0.0,577300.0,630000.0,-112.5,0,-0.045408678102926335,-62.0
9,9,2023-10-04,2,39,2555.0,2563.0,2471.0,2477.5,46063800.0,2477.5,0.0,0.0,0.0,0,0.0,602000.0,473400.0,127.5,1,0.04894433781190019,77.5
10,10,2023-10-03,1,39,2680.0,2687.0,2593.0,2605.0,31775900.0,2605.0,0.0,0.0,0.0,0,0.0,505700.0,466200.0,82.0,1,0.030517305545217716,75.0
11,11,2023-10-02,0,39,2700.5,2746.5,2683.5,2687.0,28738800.0,2687.0,0.0,0.0,0.0,0,0.0,489100.0,435100.0,-9.5,0,-0.0035480859010270775,13.5
12,12,2023-09-29,4,38,2718.0,2727.5,2675.5,2677.5,33276200.0,2677.5,2667500.0,12523500.0,4.69,0,0.0,495800.0,489900.0,28.5,1,0.010532150776053215,40.5
